主族群,類型,日期,標題,來源,連結,重點摘要,相關公司
記憶體,新聞,2026-06-23,Here's Why Micron Shares Fell 13% Tuesday,Forbes,https://www.forbes.com/sites/antoniopequenoiv/2026/06/23/micron-tumbles-13-as-south-korean-etf-warning-fuels-chip-sell-off/,美光單日暴跌13%，導火線是韓國金融監督院對記憶體槓桿ETF的警告，引發全球晶片股拋售,美股 MU
記憶體,新聞,2026-06-22,"FSS Governor Lee Chan-jin ""regret not lying down to block it""",京鄉新聞(경향신문),https://www.khan.co.kr/en/article/202606221837027,韓國金監院長公開後悔核准三星電子/SK海力士單一個股槓桿ETF，規模已超過14兆韓元、92%是散戶持有,韓股 005930/000660
記憶體,新聞,2026-06-05,記憶體爆跌原因找到了？分析師語出驚人 DRAM、NAND價格觸頂時間將大幅提前,工商時報,https://www.ctee.com.tw/news/20260605700690-430702,Raymond James分析師警告記憶體循環高峰可能提前到2026年中，比市場原本預期早,
記憶體,新聞,2026-06-04,記憶體派對快結束？分析師示警DRAM、NAND價格即將觸頂回落 美光暴跌逾7%,鉅亨網,https://news.cnyes.com/news/id/6484591,跟工商時報同一份分析師報告的不同報導角度,美股 MU
記憶體,目標價,2026-06下旬,摩根大通(JPM)調升美光目標價至$1540(原$550),Yahoo Finance,https://finance.yahoo.com/markets/stocks/articles/goldman-sachs-resets-micron-stock-160642975.html,Q3財報後大幅上調，反映HBM/AI記憶體需求強勁,美股 MU
記憶體,目標價,2026-06下旬,高盛(Goldman Sachs)調升美光目標價至$1100(原$900),Yahoo Finance,https://finance.yahoo.com/markets/stocks/articles/goldman-sachs-resets-micron-stock-160642975.html,同上財報後調升,美股 MU
記憶體,目標價,2026-06-30,Bernstein調升SanDisk目標價至$3000(原$1700),TipRanks,https://www.tipranks.com/news/sandisk-stock-sndk-gets-a-boost-as-top-bernstein-analyst-lifts-price-target-sharply,新長約(LTA)鎖定客戶與供應商下檔保護，基於2028財年EPS 11倍估值,美股 SNDK
記憶體,目標價,2026-06初,"Bernstein調升SK海力士目標價至KRW330萬元(原KRW115萬元)",BigGo Finance,https://finance.biggo.com/news/hFJRfZ4BaoGGrU-IfC86,HBM價格大幅上漲推動獲利上修,韓股 000660
記憶體,目標價,2026-06-25,法人(未具名)調升南亞科目標價至600元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價443.5元，上漲空間約35%,台股 2408
記憶體,目標價,2026-06-25,法人(未具名)調升華邦電目標價至258元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價205元，上漲空間約25%,台股 2344
記憶體,目標價,2026-06-25,外資(未具名)調升力積電目標價至100元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價85元，上漲空間約17%,台股 6770
記憶體,目標價,2026-06-25,凱基投顧調升旺宏目標價至300元,今周刊,https://www.businesstoday.com.tw/article/category/183015/post/202606250001/,現價172元，上漲空間約74%(最大),台股 2337
CPO/光通訊,新聞,2026-06-26,一則市場傳聞影響，新易盛一度跌超9%！看券商解讀,證券時報網,https://www.stcn.com/article/detail/3956604.html,市場傳聞引發單日重挫，科技股資金大幅撤離,陸股 sz300502
CPO/光通訊,新聞,2026-06-26,滬深300ETF權重股中際旭創大跌近6%！興業證券：短期AI科技板塊調整空間有限,同花順,https://m.10jqka.com.cn/20260626/c677737758.shtml,興業證券(陸資券商)研判屬正常獲利了結修正，非反轉,陸股 sz300308
PCB/CCL,目標價,2026-06-15,本土投顧調升臻鼎-KY目標價至640元,FTNN新聞網,https://www.ftnn.com.tw/news/553638,Q2稅後純益估年增163.9%，1.6T光模組+ABF載板帶旺營運,台股 4958
PCB/CCL,新聞,2026-06-14,中信證券：建議關注國內頭部AI PCB/覆銅板(CCL)廠商、存儲廠商等,鳳凰網財經,https://finance.ifeng.com/c/8rm72Rf47Vb,中信證券(陸資券商)研報，同時提到MLCC、矽晶圓提價,
被動元件,新聞,2026-06-02,MLCC Sector Surges 9% in a Single Day: Goldman Sachs Says It Could Be the Next Memory Chip,BigGo Finance,https://finance.biggo.com/news/jJ1ViJ4BDXrLZJaAUMOK,高盛報告稱MLCC是AI伺服器BOM第三大成本項，比照記憶體超級週期看待(注意：此為6月初消息，早於主要追蹤期間),
被動元件,新聞,2026-06-30,800億MLCC龍頭，「一」字跌停！近20萬手封死,中國基金報,https://www.chnfund.com/article/ARa96ef903-c275-7c38-d7ce-3a22289dcc26,風華高科6/29公告否認「全系列MLCC通過輝達認證」傳言不實，且30個交易日累積漲幅偏離達200%(嚴重異常波動)，隔日跌停，年初至今漲幅一度達340%,陸股 sz000636
半導體設備,新聞,2026-06-30,AI超級週期引爆！日經：五大半導體設備廠2026營收重返雙位數成長、訂單能見度看至2027,Yahoo奇摩股市(轉日經),https://tw.stock.yahoo.com/news/ai%E8%B6%85%E7%B4%9A%E9%80%B1%E6%9C%9F%E5%BC%95%E7%88%86-%E6%97%A5%E7%B6%93-%E4%BA%94%E5%A4%A7%E5%8D%8A%E5%B0%8E%E9%AB%94%E8%A8%AD%E5%82%99%E5%BB%A02026%E7%87%9F%E6%94%B6%E9%87%8D%E8%BF%94%E9%9B%99%E4%BD%8D%E6%95%B8%E6%88%90%E9%95%B7-%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6%E7%9C%8B%E8%87%B32027-063002556.html,訂單能見度看到2027年，結構性題材未見降溫,
半導體設備,新聞,2026-03-16,營收大爆發、訂單看到明年 這檔設備廠大啖AI商機,工商時報,https://www.ctee.com.tw/news/20260316700171-439901,較早的個股案例(供參考),
